payment_id,customer_id,amount,currency,payment_method,status,failure_reason,attempt_number,customer_success_rate,timestamp
pay_005869,cust_00047,1071.94,INR,CARD,SUCCESS,,1,0.924,2026-05-31 21:18:15.661676
pay_009813,cust_02272,2460.62,INR,NETBANKING,SUCCESS,,1,0.787,2026-05-31 21:21:15.661676
pay_009697,cust_00495,1996.45,INR,NETBANKING,SUCCESS,,1,0.521,2026-05-31 22:05:15.661676
pay_005213,cust_00348,1571.47,INR,UPI,SUCCESS,,1,0.462,2026-05-31 22:16:15.661676
pay_000804,cust_02699,1249.1,INR,CARD,SUCCESS,,1,0.898,2026-05-31 22:33:15.661676
pay_008557,cust_00562,1363.81,INR,NETBANKING,SUCCESS,,1,0.833,2026-05-31 22:48:15.661676
pay_005217,cust_02457,2281.92,INR,NETBANKING,SUCCESS,,1,0.763,2026-05-31 23:08:15.661676
pay_005027,cust_02243,791.89,INR,NETBANKING,FAILED,FRAUD_SUSPECTED,3,0.635,2026-05-31 23:11:15.661676
pay_008349,cust_01964,2884.5,INR,CARD,FAILED,INSUFFICIENT_FUNDS,2,0.756,2026-05-31 23:16:15.661676
pay_009305,cust_00663,4008.35,INR,NETBANKING,SUCCESS,,1,0.878,2026-05-31 23:20:15.661676
pay_000775,cust_01355,2973.36,INR,CARD,SUCCESS,,1,0.498,2026-05-31 23:44:15.661676
pay_006236,cust_02680,3926.47,INR,CARD,SUCCESS,,1,0.553,2026-05-31 23:55:15.661676
pay_003797,cust_02072,1585.3,INR,CARD,SUCCESS,,1,0.526,2026-06-01 00:04:15.661676
pay_005488,cust_00655,2547.01,INR,CARD,SUCCESS,,1,0.739,2026-06-01 00:08:15.661676
pay_005520,cust_02289,543.32,INR,CARD,SUCCESS,,1,0.742,2026-06-01 00:17:15.661676
pay_009842,cust_00009,5258.52,INR,UPI,SUCCESS,,1,0.527,2026-06-01 00:26:15.661676
pay_003256,cust_00201,2035.45,INR,NETBANKING,SUCCESS,,1,0.536,2026-06-01 00:26:15.661676
pay_001246,cust_00288,679.15,INR,CARD,SUCCESS,,1,0.822,2026-06-01 00:59:15.661676
pay_004220,cust_00681,427.05,INR,UPI,SUCCESS,,1,0.663,2026-06-01 01:01:15.661676
pay_003962,cust_00799,8203.8,INR,WALLET,SUCCESS,,1,0.942,2026-06-01 01:12:15.661676
pay_003767,cust_01656,828.57,INR,CARD,SUCCESS,,1,0.89,2026-06-01 01:25:15.661676
pay_009436,cust_02623,580.62,INR,WALLET,FAILED,TIMEOUT,4,0.504,2026-06-01 01:30:15.661676
pay_006129,cust_02513,941.13,INR,WALLET,SUCCESS,,1,0.574,2026-06-01 01:52:15.661676
pay_009270,cust_02085,1277.69,INR,UPI,SUCCESS,,1,0.466,2026-06-01 02:04:15.661676
pay_000693,cust_00224,761.39,INR,NETBANKING,SUCCESS,,1,0.609,2026-06-01 02:06:15.661676
pay_001155,cust_02924,6725.17,INR,UPI,SUCCESS,,1,0.474,2026-06-01 02:44:15.661676
pay_002098,cust_01699,767.02,INR,CARD,FAILED,INSUFFICIENT_FUNDS,1,0.464,2026-06-01 02:50:15.661676
pay_001801,cust_00634,8274.66,INR,CARD,SUCCESS,,1,0.72,2026-06-01 02:53:15.661676
pay_001334,cust_01312,5958.54,INR,CARD,FAILED,INSUFFICIENT_FUNDS,3,0.8,2026-06-01 03:08:15.661676
pay_006132,cust_01231,1166.86,INR,UPI,SUCCESS,,1,0.459,2026-06-01 03:10:15.661676
pay_004579,cust_00937,1149.27,INR,UPI,SUCCESS,,1,0.536,2026-06-01 03:37:15.661676
pay_005604,cust_00511,3929.44,INR,CARD,SUCCESS,,1,0.77,2026-06-01 03:39:15.661676
pay_002776,cust_02168,1439.57,INR,UPI,SUCCESS,,1,0.615,2026-06-01 03:56:15.661676
pay_009603,cust_01981,2105.23,INR,UPI,SUCCESS,,1,0.942,2026-06-01 03:57:15.661676
pay_008034,cust_02186,3388.95,INR,NETBANKING,SUCCESS,,1,0.764,2026-06-01 04:08:15.661676
pay_005903,cust_01039,1601.07,INR,WALLET,SUCCESS,,1,0.97,2026-06-01 04:16:15.661676
pay_004905,cust_01935,3027.87,INR,NETBANKING,SUCCESS,,1,0.908,2026-06-01 04:33:15.661676
pay_007475,cust_00581,1675.27,INR,CARD,SUCCESS,,1,0.821,2026-06-01 04:34:15.661676
pay_002527,cust_01168,2530.26,INR,NETBANKING,SUCCESS,,1,0.46,2026-06-01 04:48:15.661676
pay_002204,cust_02001,642.51,INR,NETBANKING,SUCCESS,,1,0.807,2026-06-01 04:53:15.661676
pay_001659,cust_01839,808.16,INR,NETBANKING,SUCCESS,,1,0.631,2026-06-01 05:02:15.661676
pay_004150,cust_00009,2196.95,INR,UPI,SUCCESS,,1,0.556,2026-06-01 05:31:15.661676
pay_008781,cust_02200,1004.52,INR,UPI,FAILED,TIMEOUT,3,0.547,2026-06-01 05:39:15.661676
pay_000910,cust_01056,10204.7,INR,CARD,SUCCESS,,1,0.876,2026-06-01 05:42:15.661676
pay_009734,cust_00783,667.73,INR,UPI,SUCCESS,,1,0.752,2026-06-01 06:10:15.661676
pay_008488,cust_02908,822.45,INR,UPI,SUCCESS,,1,0.859,2026-06-01 06:10:15.661676
pay_001936,cust_01449,543.28,INR,WALLET,SUCCESS,,1,0.92,2026-06-01 06:27:15.661676
pay_002827,cust_02803,4902.56,INR,CARD,SUCCESS,,1,0.754,2026-06-01 06:39:15.661676
pay_004800,cust_02276,3266.08,INR,WALLET,SUCCESS,,1,0.66,2026-06-01 06:44:15.661676
pay_009980,cust_01272,442.32,INR,UPI,SUCCESS,,1,0.626,2026-06-01 07:09:15.661676
pay_004167,cust_02384,1425.25,INR,CARD,SUCCESS,,1,0.955,2026-06-01 07:28:15.661676
pay_009000,cust_02265,3432.16,INR,NETBANKING,FAILED,TIMEOUT,2,0.864,2026-06-01 07:37:15.661676
pay_006111,cust_01019,4157.89,INR,WALLET,SUCCESS,,1,0.463,2026-06-01 07:45:15.661676
pay_001817,cust_01631,323.29,INR,NETBANKING,FAILED,USER_CANCELLED,1,0.502,2026-06-01 07:47:15.661676
pay_003413,cust_00917,8894.98,INR,UPI,SUCCESS,,1,0.728,2026-06-01 07:59:15.661676
pay_007092,cust_00832,6916.69,INR,CARD,SUCCESS,,1,0.833,2026-06-01 07:59:15.661676
pay_007378,cust_00066,2943.36,INR,NETBANKING,FAILED,LIMIT_EXCEEDED,2,0.737,2026-06-01 08:04:15.661676
pay_008416,cust_01972,2289.56,INR,NETBANKING,SUCCESS,,1,0.937,2026-06-01 08:14:15.661676
pay_002356,cust_02212,2228.31,INR,CARD,SUCCESS,,1,0.894,2026-06-01 08:19:15.661676
pay_003503,cust_00540,1874.65,INR,WALLET,SUCCESS,,1,0.52,2026-06-01 08:27:15.661676
pay_000516,cust_00555,3308.71,INR,NETBANKING,FAILED,NETWORK_ERROR,4,0.884,2026-06-01 08:33:15.661676
pay_008740,cust_02047,552.3,INR,CARD,SUCCESS,,1,0.506,2026-06-01 08:38:15.661676
pay_009785,cust_00766,524.24,INR,CARD,SUCCESS,,1,0.624,2026-06-01 08:49:15.661676
pay_001933,cust_00508,1246.07,INR,WALLET,SUCCESS,,1,0.805,2026-06-01 08:51:15.661676
pay_009563,cust_00493,2855.43,INR,UPI,SUCCESS,,1,0.45,2026-06-01 08:53:15.661676
pay_006576,cust_00037,4558.76,INR,CARD,SUCCESS,,1,0.5,2026-06-01 08:56:15.661676
pay_006276,cust_02751,1934.53,INR,CARD,SUCCESS,,1,0.947,2026-06-01 09:07:15.661676
pay_006173,cust_01596,1332.5,INR,UPI,SUCCESS,,1,0.493,2026-06-01 09:15:15.661676
pay_001649,cust_02884,4674.65,INR,CARD,SUCCESS,,1,0.893,2026-06-01 09:21:15.661676
pay_008339,cust_02073,2036.57,INR,NETBANKING,SUCCESS,,1,0.834,2026-06-01 09:22:15.661676
pay_001271,cust_00331,4328.81,INR,UPI,SUCCESS,,1,0.498,2026-06-01 09:32:15.661676
pay_006687,cust_01380,1196.64,INR,NETBANKING,SUCCESS,,1,0.754,2026-06-01 09:32:15.661676
pay_002656,cust_01872,3581.8,INR,UPI,SUCCESS,,1,0.677,2026-06-01 09:37:15.661676
pay_003180,cust_02321,2731.22,INR,CARD,SUCCESS,,1,0.539,2026-06-01 10:01:15.661676
pay_002096,cust_02642,1701.71,INR,WALLET,FAILED,USER_CANCELLED,3,0.595,2026-06-01 10:22:15.661676
pay_000266,cust_01619,666.32,INR,UPI,SUCCESS,,1,0.96,2026-06-01 10:33:15.661676
pay_007075,cust_01287,3247.1,INR,UPI,SUCCESS,,1,0.968,2026-06-01 10:37:15.661676
pay_007614,cust_02357,1321.79,INR,UPI,SUCCESS,,1,0.823,2026-06-01 10:48:15.661676
pay_009098,cust_01801,676.13,INR,WALLET,SUCCESS,,1,0.915,2026-06-01 11:01:15.661676
pay_003862,cust_01369,961.53,INR,NETBANKING,SUCCESS,,1,0.792,2026-06-01 11:21:15.661676
pay_001720,cust_02934,1276.16,INR,NETBANKING,SUCCESS,,1,0.602,2026-06-01 12:24:15.661676
pay_005316,cust_00005,1468.14,INR,UPI,SUCCESS,,1,0.495,2026-06-01 12:35:15.661676
pay_006409,cust_02029,1273.86,INR,CARD,SUCCESS,,1,0.629,2026-06-01 12:40:15.661676
pay_005559,cust_00216,1766.27,INR,CARD,FAILED,USER_CANCELLED,4,0.732,2026-06-01 12:43:15.661676
pay_007566,cust_00573,456.29,INR,UPI,SUCCESS,,1,0.549,2026-06-01 12:46:15.661676
pay_000585,cust_02128,2091.2,INR,WALLET,SUCCESS,,1,0.636,2026-06-01 14:03:15.661676
pay_004076,cust_00628,1979.33,INR,CARD,SUCCESS,,1,0.523,2026-06-01 14:07:15.661676
pay_005999,cust_00205,2629.0,INR,NETBANKING,SUCCESS,,1,0.676,2026-06-01 14:29:15.661676
pay_001825,cust_02756,2069.21,INR,UPI,SUCCESS,,1,0.856,2026-06-01 14:32:15.661676
pay_008528,cust_02378,2142.02,INR,NETBANKING,SUCCESS,,1,0.871,2026-06-01 14:37:15.661676
pay_006629,cust_00774,1126.85,INR,WALLET,SUCCESS,,1,0.855,2026-06-01 14:47:15.661676
pay_004240,cust_01947,1698.36,INR,CARD,SUCCESS,,1,0.75,2026-06-01 14:49:15.661676
pay_003847,cust_00270,4327.26,INR,UPI,FAILED,NETWORK_ERROR,2,0.974,2026-06-01 15:00:15.661676
pay_008716,cust_00220,2844.9,INR,CARD,SUCCESS,,1,0.845,2026-06-01 15:01:15.661676
pay_001690,cust_00028,1469.79,INR,NETBANKING,SUCCESS,,1,0.466,2026-06-01 15:22:15.661676
pay_004478,cust_00903,3311.82,INR,UPI,SUCCESS,,1,0.508,2026-06-01 16:05:15.661676
pay_008383,cust_00428,1947.11,INR,NETBANKING,SUCCESS,,1,0.653,2026-06-01 16:08:15.661676
pay_005704,cust_01259,1115.34,INR,NETBANKING,SUCCESS,,1,0.738,2026-06-01 16:11:15.661676
pay_004618,cust_02922,186.79,INR,NETBANKING,SUCCESS,,1,0.626,2026-06-01 16:19:15.661676
pay_009782,cust_01728,4260.67,INR,NETBANKING,SUCCESS,,1,0.965,2026-06-01 16:31:15.661676
pay_004822,cust_00125,1560.74,INR,WALLET,SUCCESS,,1,0.916,2026-06-01 16:40:15.661676
pay_000532,cust_01764,478.56,INR,UPI,SUCCESS,,1,0.57,2026-06-01 16:48:15.661676
pay_003360,cust_01668,825.69,INR,UPI,FAILED,BANK_ERROR,1,0.989,2026-06-01 17:04:15.661676
pay_001755,cust_01625,2721.56,INR,UPI,SUCCESS,,1,0.833,2026-06-01 17:13:15.661676
pay_007620,cust_02931,2477.93,INR,WALLET,SUCCESS,,1,0.526,2026-06-01 17:20:15.661676
pay_007651,cust_00968,4372.0,INR,CARD,SUCCESS,,1,0.499,2026-06-01 17:32:15.661676
pay_004804,cust_00033,1026.25,INR,UPI,SUCCESS,,1,0.767,2026-06-01 17:41:15.661676
pay_004726,cust_02540,143.12,INR,CARD,SUCCESS,,1,0.665,2026-06-01 17:58:15.661676
pay_004654,cust_00684,2977.16,INR,UPI,SUCCESS,,1,0.616,2026-06-01 17:59:15.661676
pay_005721,cust_00354,1277.81,INR,UPI,SUCCESS,,1,0.574,2026-06-01 18:03:15.661676
pay_008620,cust_02875,6422.71,INR,NETBANKING,FAILED,INSUFFICIENT_FUNDS,4,0.741,2026-06-01 18:10:15.661676
pay_008867,cust_01736,2258.34,INR,WALLET,SUCCESS,,1,0.869,2026-06-01 18:23:15.661676
pay_001136,cust_02612,3909.91,INR,CARD,SUCCESS,,1,0.823,2026-06-01 18:26:15.661676
pay_005925,cust_01429,445.01,INR,WALLET,SUCCESS,,1,0.655,2026-06-01 18:41:15.661676
pay_004409,cust_02181,2787.02,INR,NETBANKING,SUCCESS,,1,0.682,2026-06-01 18:57:15.661676
pay_001195,cust_00515,505.53,INR,CARD,SUCCESS,,1,0.458,2026-06-01 19:06:15.661676
pay_000793,cust_02511,2246.8,INR,UPI,SUCCESS,,1,0.535,2026-06-01 19:12:15.661676
pay_004111,cust_02455,4522.52,INR,NETBANKING,SUCCESS,,1,0.461,2026-06-01 19:25:15.661676
pay_006216,cust_01604,486.33,INR,WALLET,SUCCESS,,1,0.735,2026-06-01 19:39:15.661676
pay_000485,cust_02260,987.25,INR,WALLET,SUCCESS,,1,0.84,2026-06-01 19:39:15.661676
pay_000646,cust_00573,1453.63,INR,UPI,SUCCESS,,1,0.872,2026-06-01 19:53:15.661676
pay_007271,cust_00008,457.54,INR,UPI,SUCCESS,,1,0.51,2026-06-01 19:57:15.661676
pay_002895,cust_02934,2715.18,INR,WALLET,FAILED,LIMIT_EXCEEDED,3,0.768,2026-06-01 19:58:15.661676
pay_004820,cust_01669,1445.77,INR,WALLET,SUCCESS,,1,0.888,2026-06-01 20:08:15.661676
pay_008515,cust_01729,1279.42,INR,NETBANKING,SUCCESS,,1,0.758,2026-06-01 20:27:15.661676
pay_001811,cust_02467,1228.5,INR,CARD,SUCCESS,,1,0.5,2026-06-01 20:43:15.661676
pay_002745,cust_00885,238.97,INR,CARD,SUCCESS,,1,0.971,2026-06-01 20:53:15.661676
pay_006845,cust_01447,12746.06,INR,WALLET,SUCCESS,,1,0.972,2026-06-01 21:07:15.661676
pay_000609,cust_00720,435.73,INR,UPI,SUCCESS,,1,0.829,2026-06-01 21:26:15.661676
pay_009218,cust_00072,2242.27,INR,NETBANKING,SUCCESS,,1,0.926,2026-06-01 21:30:15.661676
pay_009824,cust_00198,1252.16,INR,NETBANKING,SUCCESS,,1,0.772,2026-06-01 21:50:15.661676
pay_007844,cust_00475,1317.87,INR,CARD,FAILED,USER_CANCELLED,1,0.821,2026-06-01 21:52:15.661676
pay_006234,cust_02827,247.09,INR,UPI,SUCCESS,,1,0.456,2026-06-01 21:52:15.661676
pay_000829,cust_02262,1291.88,INR,UPI,SUCCESS,,1,0.56,2026-06-01 22:05:15.661676
pay_009864,cust_00737,766.2,INR,UPI,SUCCESS,,1,0.954,2026-06-01 22:13:15.661676
pay_002160,cust_00247,2824.69,INR,CARD,SUCCESS,,1,0.703,2026-06-01 22:26:15.661676
pay_005158,cust_00635,18667.49,INR,NETBANKING,SUCCESS,,1,0.704,2026-06-01 22:32:15.661676
pay_005970,cust_00773,1125.75,INR,CARD,SUCCESS,,1,0.651,2026-06-01 23:01:15.661676
pay_006304,cust_01318,4456.63,INR,NETBANKING,SUCCESS,,1,0.552,2026-06-01 23:35:15.661676
pay_009245,cust_01940,1422.61,INR,UPI,SUCCESS,,1,0.799,2026-06-01 23:54:15.661676
pay_003913,cust_01720,4054.48,INR,WALLET,SUCCESS,,1,0.648,2026-06-02 00:19:15.661676
pay_007896,cust_00212,1165.23,INR,NETBANKING,SUCCESS,,1,0.871,2026-06-02 00:37:15.661676
pay_003201,cust_02688,2096.74,INR,CARD,SUCCESS,,1,0.493,2026-06-02 00:48:15.661676
pay_002972,cust_01952,1711.44,INR,CARD,SUCCESS,,1,0.841,2026-06-02 01:06:15.661676
pay_006704,cust_02291,590.08,INR,UPI,SUCCESS,,1,0.856,2026-06-02 01:23:15.661676
pay_001767,cust_01728,10267.66,INR,UPI,SUCCESS,,1,0.554,2026-06-02 01:34:15.661676
pay_009112,cust_02385,2785.03,INR,WALLET,SUCCESS,,1,0.55,2026-06-02 01:54:15.661676
pay_004465,cust_02051,1136.82,INR,UPI,SUCCESS,,1,0.589,2026-06-02 01:56:15.661676
pay_002396,cust_01702,566.96,INR,UPI,SUCCESS,,1,0.743,2026-06-02 01:58:15.661676
pay_003455,cust_01612,173.55,INR,NETBANKING,SUCCESS,,1,0.741,2026-06-02 02:10:15.661676
pay_000236,cust_00106,3002.3,INR,CARD,SUCCESS,,1,0.876,2026-06-02 02:13:15.661676
pay_008167,cust_02415,7307.72,INR,CARD,SUCCESS,,1,0.657,2026-06-02 02:55:15.661676
pay_003867,cust_00391,2334.66,INR,UPI,SUCCESS,,1,0.467,2026-06-02 03:02:15.661676
pay_001160,cust_01121,1394.28,INR,UPI,FAILED,CARD_EXPIRED,1,0.562,2026-06-02 03:05:15.661676
pay_000191,cust_00409,1264.95,INR,WALLET,SUCCESS,,1,0.671,2026-06-02 03:17:15.661676
pay_008745,cust_02775,9330.07,INR,NETBANKING,FAILED,INSUFFICIENT_FUNDS,2,0.733,2026-06-02 03:44:15.661676
pay_006168,cust_00855,1598.47,INR,WALLET,SUCCESS,,1,0.61,2026-06-02 03:47:15.661676
pay_003488,cust_02289,3077.71,INR,NETBANKING,SUCCESS,,1,0.858,2026-06-02 03:54:15.661676
pay_007165,cust_02937,998.34,INR,UPI,SUCCESS,,1,0.913,2026-06-02 03:56:15.661676
pay_000237,cust_02412,357.77,INR,NETBANKING,SUCCESS,,1,0.478,2026-06-02 04:14:15.661676
pay_001303,cust_00980,1571.89,INR,UPI,SUCCESS,,1,0.615,2026-06-02 04:33:15.661676
pay_005729,cust_00604,2015.63,INR,WALLET,SUCCESS,,1,0.474,2026-06-02 04:34:15.661676
pay_008299,cust_01679,1556.54,INR,WALLET,SUCCESS,,1,0.856,2026-06-02 04:52:15.661676
pay_008853,cust_00629,477.18,INR,WALLET,SUCCESS,,1,0.463,2026-06-02 05:03:15.661676
pay_002633,cust_02099,2117.17,INR,NETBANKING,SUCCESS,,1,0.988,2026-06-02 05:09:15.661676
pay_000474,cust_00907,5396.47,INR,CARD,SUCCESS,,1,0.955,2026-06-02 05:11:15.661676
pay_009768,cust_01161,1902.33,INR,CARD,SUCCESS,,1,0.674,2026-06-02 05:19:15.661676
pay_000579,cust_00408,553.98,INR,WALLET,SUCCESS,,1,0.913,2026-06-02 05:20:15.661676
pay_003197,cust_02239,3197.64,INR,WALLET,SUCCESS,,1,0.964,2026-06-02 05:28:15.661676
pay_004799,cust_02190,350.62,INR,NETBANKING,SUCCESS,,1,0.713,2026-06-02 05:41:15.661676
pay_002167,cust_00452,945.12,INR,CARD,FAILED,BANK_ERROR,1,0.707,2026-06-02 06:00:15.661676
pay_005671,cust_02401,13332.13,INR,NETBANKING,SUCCESS,,1,0.784,2026-06-02 06:24:15.661676
pay_004484,cust_00013,2814.98,INR,NETBANKING,SUCCESS,,1,0.925,2026-06-02 07:04:15.661676
pay_003584,cust_01539,679.72,INR,CARD,SUCCESS,,1,0.769,2026-06-02 07:09:15.661676
pay_000486,cust_02195,579.52,INR,NETBANKING,SUCCESS,,1,0.827,2026-06-02 07:12:15.661676
pay_003101,cust_00688,1027.09,INR,CARD,SUCCESS,,1,0.556,2026-06-02 07:18:15.661676
pay_005714,cust_01559,2486.02,INR,UPI,SUCCESS,,1,0.857,2026-06-02 07:29:15.661676
pay_006742,cust_02288,1320.19,INR,NETBANKING,SUCCESS,,1,0.942,2026-06-02 07:29:15.661676
pay_003561,cust_00166,2178.15,INR,CARD,SUCCESS,,1,0.613,2026-06-02 07:38:15.661676
pay_004399,cust_01411,4290.01,INR,WALLET,SUCCESS,,1,0.497,2026-06-02 07:46:15.661676
pay_004118,cust_01470,398.61,INR,CARD,SUCCESS,,1,0.928,2026-06-02 08:04:15.661676
pay_006065,cust_01721,2088.2,INR,NETBANKING,SUCCESS,,1,0.571,2026-06-02 08:31:15.661676
pay_009873,cust_02565,1399.79,INR,NETBANKING,SUCCESS,,1,0.926,2026-06-02 08:34:15.661676
pay_000758,cust_02176,2096.17,INR,CARD,SUCCESS,,1,0.788,2026-06-02 08:54:15.661676
pay_005392,cust_00579,2057.73,INR,CARD,SUCCESS,,1,0.845,2026-06-02 09:07:15.661676
pay_009990,cust_02865,975.89,INR,CARD,FAILED,USER_CANCELLED,3,0.743,2026-06-02 09:14:15.661676
pay_009690,cust_01033,2286.16,INR,CARD,SUCCESS,,1,0.579,2026-06-02 09:24:15.661676
pay_006269,cust_02427,3919.59,INR,CARD,SUCCESS,,1,0.86,2026-06-02 09:47:15.661676
pay_009030,cust_02479,1049.89,INR,CARD,SUCCESS,,1,0.856,2026-06-02 09:57:15.661676
pay_009215,cust_00930,1103.42,INR,NETBANKING,SUCCESS,,1,0.683,2026-06-02 10:18:15.661676
pay_007220,cust_01518,449.72,INR,UPI,SUCCESS,,1,0.89,2026-06-02 10:33:15.661676
pay_005803,cust_00151,1301.91,INR,WALLET,SUCCESS,,1,0.614,2026-06-02 10:42:15.661676
pay_002641,cust_00027,7688.22,INR,WALLET,SUCCESS,,1,0.624,2026-06-02 10:59:15.661676
pay_005629,cust_01437,945.09,INR,CARD,SUCCESS,,1,0.496,2026-06-02 11:09:15.661676
pay_007060,cust_00544,3132.43,INR,WALLET,SUCCESS,,1,0.64,2026-06-02 11:09:15.661676
pay_003621,cust_00567,602.88,INR,WALLET,SUCCESS,,1,0.979,2026-06-02 11:13:15.661676
pay_000317,cust_00022,3119.92,INR,UPI,SUCCESS,,1,0.901,2026-06-02 11:16:15.661676
pay_000118,cust_00336,709.85,INR,WALLET,SUCCESS,,1,0.478,2026-06-02 12:06:15.661676
pay_009090,cust_00892,1139.08,INR,WALLET,SUCCESS,,1,0.648,2026-06-02 12:17:15.661676
pay_005915,cust_01411,1498.26,INR,WALLET,SUCCESS,,1,0.906,2026-06-02 12:26:15.661676
pay_004320,cust_01145,1381.27,INR,UPI,SUCCESS,,1,0.823,2026-06-02 12:45:15.661676
pay_008265,cust_01073,307.15,INR,WALLET,SUCCESS,,1,0.585,2026-06-02 12:49:15.661676
pay_004630,cust_02255,2540.86,INR,WALLET,FAILED,USER_CANCELLED,4,0.785,2026-06-02 12:57:15.661676
pay_002829,cust_02309,3870.58,INR,UPI,SUCCESS,,1,0.942,2026-06-02 13:00:15.661676
pay_000964,cust_01056,3188.17,INR,NETBANKING,SUCCESS,,1,0.64,2026-06-02 13:05:15.661676
pay_009644,cust_00550,1902.57,INR,WALLET,SUCCESS,,1,0.826,2026-06-02 13:06:15.661676
pay_004469,cust_01632,1970.33,INR,WALLET,SUCCESS,,1,0.689,2026-06-02 13:17:15.661676
pay_008655,cust_01227,3375.04,INR,NETBANKING,FAILED,CARD_EXPIRED,3,0.658,2026-06-02 13:29:15.661676
pay_000686,cust_00137,3198.38,INR,NETBANKING,SUCCESS,,1,0.964,2026-06-02 13:37:15.661676
pay_005448,cust_01768,7439.33,INR,CARD,SUCCESS,,1,0.577,2026-06-02 13:50:15.661676
pay_003266,cust_01271,8543.91,INR,WALLET,SUCCESS,,1,0.967,2026-06-02 14:06:15.661676
pay_001421,cust_01726,2781.2,INR,NETBANKING,SUCCESS,,1,0.768,2026-06-02 14:20:15.661676
pay_008937,cust_01122,819.9,INR,CARD,FAILED,NETWORK_ERROR,2,0.776,2026-06-02 14:29:15.661676
pay_001509,cust_01634,1940.55,INR,UPI,SUCCESS,,1,0.538,2026-06-02 14:34:15.661676
pay_004373,cust_00009,754.69,INR,UPI,SUCCESS,,1,0.73,2026-06-02 14:48:15.661676
pay_005347,cust_00141,1451.22,INR,CARD,SUCCESS,,1,0.809,2026-06-02 15:11:15.661676
pay_001695,cust_01073,2000.4,INR,UPI,SUCCESS,,1,0.524,2026-06-02 15:37:15.661676
pay_001989,cust_02653,1082.27,INR,NETBANKING,SUCCESS,,1,0.928,2026-06-02 15:44:15.661676
pay_006486,cust_01654,13342.96,INR,WALLET,SUCCESS,,1,0.804,2026-06-02 16:01:15.661676
pay_004308,cust_01090,3247.25,INR,CARD,SUCCESS,,1,0.679,2026-06-02 16:14:15.661676
pay_007918,cust_02867,1254.16,INR,CARD,SUCCESS,,1,0.726,2026-06-02 16:24:15.661676
pay_009327,cust_00740,955.32,INR,WALLET,SUCCESS,,1,0.577,2026-06-02 16:30:15.661676
pay_002850,cust_00268,1174.62,INR,UPI,SUCCESS,,1,0.916,2026-06-02 16:39:15.661676
pay_006582,cust_02585,2199.6,INR,WALLET,FAILED,CARD_EXPIRED,3,0.466,2026-06-02 16:40:15.661676
pay_008441,cust_01301,956.69,INR,UPI,SUCCESS,,1,0.868,2026-06-02 16:42:15.661676
pay_007322,cust_01945,1645.61,INR,UPI,SUCCESS,,1,0.581,2026-06-02 16:53:15.661676
pay_004182,cust_01624,1203.07,INR,WALLET,SUCCESS,,1,0.749,2026-06-02 16:56:15.661676
pay_006032,cust_01949,1287.08,INR,NETBANKING,SUCCESS,,1,0.741,2026-06-02 17:02:15.661676
pay_005252,cust_01506,1175.14,INR,UPI,SUCCESS,,1,0.788,2026-06-02 17:07:15.661676
pay_007760,cust_01780,640.03,INR,CARD,SUCCESS,,1,0.726,2026-06-02 17:18:15.661676
