payment_id,amount,payment_method,failure_reason,attempt_number,customer_success_rate,action,recovery_success,simulated_probability
pay_008937,819.9,CARD,NETWORK_ERROR,2,0.776,RETRY,1,0.688
pay_008937,819.9,CARD,NETWORK_ERROR,2,0.776,SEND_REMINDER,0,0.41800000000000004
pay_006582,2199.6,WALLET,CARD_EXPIRED,3,0.466,RETRY,0,0.01
pay_006582,2199.6,WALLET,CARD_EXPIRED,3,0.466,SEND_REMINDER,0,0.46299999999999997
pay_008831,1331.08,CARD,TIMEOUT,1,0.716,RETRY,1,0.688
pay_008831,1331.08,CARD,TIMEOUT,1,0.716,SEND_REMINDER,0,0.458
pay_003784,707.84,CARD,BANK_ERROR,3,0.695,RETRY,0,0.6075
pay_003784,707.84,CARD,BANK_ERROR,3,0.695,SEND_REMINDER,0,0.27749999999999997
pay_009991,5692.47,WALLET,TIMEOUT,1,0.677,RETRY,0,0.6685
pay_009991,5692.47,WALLET,TIMEOUT,1,0.677,SEND_REMINDER,1,0.43850000000000006
pay_009424,1982.03,CARD,LIMIT_EXCEEDED,3,0.832,RETRY,0,0.22599999999999998
pay_009424,1982.03,CARD,LIMIT_EXCEEDED,3,0.832,SEND_REMINDER,1,0.5259999999999999
pay_002823,1738.68,WALLET,BANK_ERROR,2,0.775,RETRY,1,0.7175
pay_002823,1738.68,WALLET,BANK_ERROR,2,0.775,SEND_REMINDER,0,0.3875
pay_001901,3157.59,WALLET,NETWORK_ERROR,3,0.517,RETRY,1,0.48850000000000005
pay_001901,3157.59,WALLET,NETWORK_ERROR,3,0.517,SEND_REMINDER,0,0.21850000000000003
pay_003227,918.3,UPI,NETWORK_ERROR,1,0.92,RETRY,1,0.8300000000000001
pay_003227,918.3,UPI,NETWORK_ERROR,1,0.92,SEND_REMINDER,0,0.56
pay_003468,2009.3,CARD,INSUFFICIENT_FUNDS,4,0.871,RETRY,1,0.22549999999999998
pay_003468,2009.3,CARD,INSUFFICIENT_FUNDS,4,0.871,SEND_REMINDER,0,0.5255000000000001
pay_005612,7429.47,UPI,BANK_ERROR,3,0.88,RETRY,1,0.7000000000000001
pay_005612,7429.47,UPI,BANK_ERROR,3,0.88,SEND_REMINDER,1,0.37
pay_002216,2236.58,WALLET,BANK_ERROR,4,0.498,RETRY,1,0.439
pay_002216,2236.58,WALLET,BANK_ERROR,4,0.498,SEND_REMINDER,0,0.10899999999999999
pay_005866,1118.95,CARD,NETWORK_ERROR,2,0.557,RETRY,1,0.5785
pay_005866,1118.95,CARD,NETWORK_ERROR,2,0.557,SEND_REMINDER,0,0.30850000000000005
pay_007344,873.28,NETBANKING,INSUFFICIENT_FUNDS,1,0.921,RETRY,0,0.4605
pay_007344,873.28,NETBANKING,INSUFFICIENT_FUNDS,1,0.921,SEND_REMINDER,1,0.7605000000000001
pay_005237,590.96,UPI,NETWORK_ERROR,3,0.867,RETRY,0,0.6635
pay_005237,590.96,UPI,NETWORK_ERROR,3,0.867,SEND_REMINDER,0,0.39350000000000007
pay_000660,1610.84,CARD,FRAUD_SUSPECTED,1,0.887,RETRY,0,0.10350000000000002
pay_000660,1610.84,CARD,FRAUD_SUSPECTED,1,0.887,SEND_REMINDER,1,0.10350000000000002
pay_008736,1086.26,UPI,LIMIT_EXCEEDED,3,0.649,RETRY,0,0.1345
pay_008736,1086.26,UPI,LIMIT_EXCEEDED,3,0.649,SEND_REMINDER,1,0.4345
pay_004912,5219.83,CARD,FRAUD_SUSPECTED,3,0.853,RETRY,0,0.01
pay_004912,5219.83,CARD,FRAUD_SUSPECTED,3,0.853,SEND_REMINDER,0,0.01
pay_002475,2305.5,NETBANKING,INSUFFICIENT_FUNDS,2,0.707,RETRY,0,0.2835
pay_002475,2305.5,NETBANKING,INSUFFICIENT_FUNDS,2,0.707,SEND_REMINDER,0,0.5834999999999999
pay_009232,3049.65,WALLET,USER_CANCELLED,1,0.765,RETRY,0,0.5825
pay_009232,3049.65,WALLET,USER_CANCELLED,1,0.765,SEND_REMINDER,1,0.7124999999999999
pay_006376,4353.73,UPI,CARD_EXPIRED,1,0.478,RETRY,0,0.08900000000000002
pay_006376,4353.73,UPI,CARD_EXPIRED,1,0.478,SEND_REMINDER,1,0.609
pay_009146,462.28,WALLET,INSUFFICIENT_FUNDS,4,0.535,RETRY,0,0.057499999999999996
pay_009146,462.28,WALLET,INSUFFICIENT_FUNDS,4,0.535,SEND_REMINDER,1,0.3575000000000001
pay_002290,5641.45,CARD,LIMIT_EXCEEDED,4,0.965,RETRY,0,0.22249999999999998
pay_002290,5641.45,CARD,LIMIT_EXCEEDED,4,0.965,SEND_REMINDER,0,0.5225
pay_002471,4265.79,CARD,CARD_EXPIRED,2,0.74,RETRY,1,0.15000000000000002
pay_002471,4265.79,CARD,CARD_EXPIRED,2,0.74,SEND_REMINDER,1,0.6699999999999999
pay_002415,4081.13,UPI,INSUFFICIENT_FUNDS,4,0.526,RETRY,0,0.05299999999999999
pay_002415,4081.13,UPI,INSUFFICIENT_FUNDS,4,0.526,SEND_REMINDER,0,0.35300000000000004
pay_002049,1390.87,WALLET,FRAUD_SUSPECTED,4,0.579,RETRY,0,0.01
pay_002049,1390.87,WALLET,FRAUD_SUSPECTED,4,0.579,SEND_REMINDER,0,0.01
pay_008632,1435.36,UPI,BANK_ERROR,3,0.835,RETRY,0,0.6775
pay_008632,1435.36,UPI,BANK_ERROR,3,0.835,SEND_REMINDER,0,0.3475
pay_003125,1617.25,WALLET,USER_CANCELLED,4,0.487,RETRY,0,0.23350000000000004
pay_003125,1617.25,WALLET,USER_CANCELLED,4,0.487,SEND_REMINDER,1,0.3634999999999999
pay_002238,842.9,WALLET,NETWORK_ERROR,2,0.703,RETRY,1,0.6515
pay_002238,842.9,WALLET,NETWORK_ERROR,2,0.703,SEND_REMINDER,0,0.3815
pay_003043,1130.91,WALLET,USER_CANCELLED,1,0.554,RETRY,1,0.4770000000000001
pay_003043,1130.91,WALLET,USER_CANCELLED,1,0.554,SEND_REMINDER,1,0.607
pay_008447,3078.72,NETBANKING,BANK_ERROR,1,0.736,RETRY,1,0.768
pay_008447,3078.72,NETBANKING,BANK_ERROR,1,0.736,SEND_REMINDER,0,0.438
pay_009681,1315.49,UPI,LIMIT_EXCEEDED,4,0.834,RETRY,1,0.15699999999999997
pay_009681,1315.49,UPI,LIMIT_EXCEEDED,4,0.834,SEND_REMINDER,0,0.457
pay_003758,9261.87,UPI,INSUFFICIENT_FUNDS,4,0.836,RETRY,0,0.20799999999999996
pay_003758,9261.87,UPI,INSUFFICIENT_FUNDS,4,0.836,SEND_REMINDER,1,0.508
pay_000223,3130.69,CARD,NETWORK_ERROR,4,0.513,RETRY,1,0.41650000000000004
pay_000223,3130.69,CARD,NETWORK_ERROR,4,0.513,SEND_REMINDER,0,0.14650000000000002
pay_001969,1547.0,NETBANKING,BANK_ERROR,2,0.85,RETRY,0,0.7549999999999999
pay_001969,1547.0,NETBANKING,BANK_ERROR,2,0.85,SEND_REMINDER,0,0.425
pay_000146,3379.42,NETBANKING,CARD_EXPIRED,2,0.794,RETRY,0,0.17700000000000005
pay_000146,3379.42,NETBANKING,CARD_EXPIRED,2,0.794,SEND_REMINDER,1,0.6970000000000001
pay_003196,401.82,WALLET,USER_CANCELLED,3,0.739,RETRY,0,0.4295000000000001
pay_003196,401.82,WALLET,USER_CANCELLED,3,0.739,SEND_REMINDER,1,0.5595
pay_002152,6830.66,UPI,BANK_ERROR,3,0.821,RETRY,0,0.6705
pay_002152,6830.66,UPI,BANK_ERROR,3,0.821,SEND_REMINDER,1,0.34049999999999997
pay_004062,2260.66,NETBANKING,NETWORK_ERROR,2,0.553,RETRY,0,0.5765
pay_004062,2260.66,NETBANKING,NETWORK_ERROR,2,0.553,SEND_REMINDER,0,0.30650000000000005
pay_009381,1804.81,CARD,LIMIT_EXCEEDED,1,0.828,RETRY,0,0.364
pay_009381,1804.81,CARD,LIMIT_EXCEEDED,1,0.828,SEND_REMINDER,1,0.6639999999999999
pay_007580,576.44,UPI,INSUFFICIENT_FUNDS,2,0.618,RETRY,0,0.239
pay_007580,576.44,UPI,INSUFFICIENT_FUNDS,2,0.618,SEND_REMINDER,1,0.5389999999999999
pay_009566,1963.94,CARD,TIMEOUT,1,0.695,RETRY,1,0.6775
pay_009566,1963.94,CARD,TIMEOUT,1,0.695,SEND_REMINDER,0,0.4475
pay_007396,416.29,NETBANKING,FRAUD_SUSPECTED,4,0.812,RETRY,0,0.01
pay_007396,416.29,NETBANKING,FRAUD_SUSPECTED,4,0.812,SEND_REMINDER,0,0.01
pay_004444,3115.62,WALLET,BANK_ERROR,1,0.99,RETRY,0,0.895
pay_004444,3115.62,WALLET,BANK_ERROR,1,0.99,SEND_REMINDER,0,0.565
pay_007035,6530.8,NETBANKING,LIMIT_EXCEEDED,1,0.56,RETRY,0,0.23000000000000004
pay_007035,6530.8,NETBANKING,LIMIT_EXCEEDED,1,0.56,SEND_REMINDER,0,0.53
pay_004346,1847.98,WALLET,BANK_ERROR,2,0.86,RETRY,1,0.76
pay_004346,1847.98,WALLET,BANK_ERROR,2,0.86,SEND_REMINDER,1,0.43
pay_006526,2267.52,WALLET,TIMEOUT,1,0.942,RETRY,1,0.8009999999999999
pay_006526,2267.52,WALLET,TIMEOUT,1,0.942,SEND_REMINDER,0,0.571
pay_002613,1538.87,WALLET,NETWORK_ERROR,2,0.976,RETRY,1,0.788
pay_002613,1538.87,WALLET,NETWORK_ERROR,2,0.976,SEND_REMINDER,0,0.518
pay_004781,2260.33,CARD,CARD_EXPIRED,4,0.612,RETRY,0,0.01
pay_004781,2260.33,CARD,CARD_EXPIRED,4,0.612,SEND_REMINDER,1,0.4659999999999999
pay_005624,2647.37,NETBANKING,LIMIT_EXCEEDED,2,0.741,RETRY,0,0.2505
pay_005624,2647.37,NETBANKING,LIMIT_EXCEEDED,2,0.741,SEND_REMINDER,1,0.5505
pay_006299,1370.02,CARD,LIMIT_EXCEEDED,1,0.885,RETRY,0,0.3925
pay_006299,1370.02,CARD,LIMIT_EXCEEDED,1,0.885,SEND_REMINDER,0,0.6925
pay_000054,2949.35,CARD,BANK_ERROR,2,0.487,RETRY,0,0.5734999999999999
pay_000054,2949.35,CARD,BANK_ERROR,2,0.487,SEND_REMINDER,0,0.2435
pay_004854,2036.73,WALLET,INSUFFICIENT_FUNDS,4,0.757,RETRY,0,0.16849999999999998
pay_004854,2036.73,WALLET,INSUFFICIENT_FUNDS,4,0.757,SEND_REMINDER,0,0.4685000000000001
pay_009811,1152.2,WALLET,CARD_EXPIRED,4,0.964,RETRY,0,0.122
pay_009811,1152.2,WALLET,CARD_EXPIRED,4,0.964,SEND_REMINDER,1,0.6419999999999999
pay_008582,1102.64,WALLET,FRAUD_SUSPECTED,3,0.562,RETRY,0,0.01
pay_008582,1102.64,WALLET,FRAUD_SUSPECTED,3,0.562,SEND_REMINDER,0,0.01
pay_008686,2348.98,WALLET,CARD_EXPIRED,3,0.904,RETRY,0,0.16200000000000003
pay_008686,2348.98,WALLET,CARD_EXPIRED,3,0.904,SEND_REMINDER,0,0.682
pay_008087,369.54,NETBANKING,BANK_ERROR,4,0.965,RETRY,0,0.6725000000000001
pay_008087,369.54,NETBANKING,BANK_ERROR,4,0.965,SEND_REMINDER,0,0.34249999999999997
pay_006116,792.49,NETBANKING,NETWORK_ERROR,1,0.602,RETRY,0,0.671
pay_006116,792.49,NETBANKING,NETWORK_ERROR,1,0.602,SEND_REMINDER,1,0.401
pay_009036,2480.58,WALLET,NETWORK_ERROR,3,0.769,RETRY,0,0.6144999999999999
pay_009036,2480.58,WALLET,NETWORK_ERROR,3,0.769,SEND_REMINDER,0,0.34450000000000003
pay_004371,448.64,CARD,BANK_ERROR,4,0.821,RETRY,0,0.6005
pay_004371,448.64,CARD,BANK_ERROR,4,0.821,SEND_REMINDER,1,0.27049999999999996
pay_009313,4283.39,UPI,INSUFFICIENT_FUNDS,4,0.647,RETRY,1,0.11349999999999999
pay_009313,4283.39,UPI,INSUFFICIENT_FUNDS,4,0.647,SEND_REMINDER,1,0.41350000000000003
pay_007270,927.58,NETBANKING,USER_CANCELLED,3,0.905,RETRY,1,0.5125000000000001
pay_007270,927.58,NETBANKING,USER_CANCELLED,3,0.905,SEND_REMINDER,1,0.6425
pay_003428,5473.24,NETBANKING,BANK_ERROR,4,0.575,RETRY,0,0.4775
pay_003428,5473.24,NETBANKING,BANK_ERROR,4,0.575,SEND_REMINDER,1,0.14749999999999996
pay_008980,1512.29,CARD,INSUFFICIENT_FUNDS,2,0.488,RETRY,0,0.174
pay_008980,1512.29,CARD,INSUFFICIENT_FUNDS,2,0.488,SEND_REMINDER,0,0.47400000000000003
pay_003457,4320.02,CARD,BANK_ERROR,4,0.973,RETRY,1,0.6765000000000001
pay_003457,4320.02,CARD,BANK_ERROR,4,0.973,SEND_REMINDER,0,0.3465
pay_006612,3904.96,NETBANKING,TIMEOUT,4,0.843,RETRY,1,0.5414999999999999
pay_006612,3904.96,NETBANKING,TIMEOUT,4,0.843,SEND_REMINDER,0,0.31150000000000005
pay_005365,1552.79,CARD,USER_CANCELLED,1,0.47,RETRY,0,0.43500000000000005
pay_005365,1552.79,CARD,USER_CANCELLED,1,0.47,SEND_REMINDER,0,0.565
pay_007155,1328.23,CARD,LIMIT_EXCEEDED,2,0.613,RETRY,0,0.1865
pay_007155,1328.23,CARD,LIMIT_EXCEEDED,2,0.613,SEND_REMINDER,0,0.4865
pay_004185,1232.74,NETBANKING,BANK_ERROR,3,0.511,RETRY,1,0.5155
pay_004185,1232.74,NETBANKING,BANK_ERROR,3,0.511,SEND_REMINDER,0,0.1855
pay_005485,268.42,UPI,USER_CANCELLED,2,0.691,RETRY,1,0.4755000000000001
pay_005485,268.42,UPI,USER_CANCELLED,2,0.691,SEND_REMINDER,0,0.6054999999999999
pay_009403,507.88,UPI,TIMEOUT,2,0.831,RETRY,1,0.6755
pay_009403,507.88,UPI,TIMEOUT,2,0.831,SEND_REMINDER,0,0.44550000000000006
pay_008482,1761.67,CARD,FRAUD_SUSPECTED,2,0.861,RETRY,0,0.020500000000000004
pay_008482,1761.67,CARD,FRAUD_SUSPECTED,2,0.861,SEND_REMINDER,0,0.020500000000000004
pay_009654,6092.04,WALLET,FRAUD_SUSPECTED,2,0.888,RETRY,0,0.034000000000000016
pay_009654,6092.04,WALLET,FRAUD_SUSPECTED,2,0.888,SEND_REMINDER,0,0.034000000000000016
pay_009444,1926.89,WALLET,LIMIT_EXCEEDED,1,0.515,RETRY,0,0.20750000000000002
pay_009444,1926.89,WALLET,LIMIT_EXCEEDED,1,0.515,SEND_REMINDER,0,0.5075000000000001
pay_005761,1851.12,CARD,NETWORK_ERROR,3,0.819,RETRY,0,0.6395
pay_005761,1851.12,CARD,NETWORK_ERROR,3,0.819,SEND_REMINDER,0,0.36950000000000005
pay_007822,3578.43,CARD,LIMIT_EXCEEDED,4,0.938,RETRY,1,0.20899999999999996
pay_007822,3578.43,CARD,LIMIT_EXCEEDED,4,0.938,SEND_REMINDER,0,0.5089999999999999
pay_005135,509.9,CARD,BANK_ERROR,1,0.672,RETRY,1,0.736
pay_005135,509.9,CARD,BANK_ERROR,1,0.672,SEND_REMINDER,1,0.406
pay_005333,2219.28,UPI,NETWORK_ERROR,1,0.474,RETRY,0,0.607
pay_005333,2219.28,UPI,NETWORK_ERROR,1,0.474,SEND_REMINDER,0,0.337
pay_002039,1771.43,NETBANKING,CARD_EXPIRED,4,0.475,RETRY,0,0.01
pay_002039,1771.43,NETBANKING,CARD_EXPIRED,4,0.475,SEND_REMINDER,0,0.3974999999999999
pay_007399,2453.04,WALLET,TIMEOUT,1,0.732,RETRY,1,0.696
pay_007399,2453.04,WALLET,TIMEOUT,1,0.732,SEND_REMINDER,0,0.466
pay_006271,1353.06,UPI,BANK_ERROR,3,0.973,RETRY,1,0.7465
pay_006271,1353.06,UPI,BANK_ERROR,3,0.973,SEND_REMINDER,1,0.4165
pay_007046,1159.7,CARD,INSUFFICIENT_FUNDS,4,0.585,RETRY,0,0.08249999999999996
pay_007046,1159.7,CARD,INSUFFICIENT_FUNDS,4,0.585,SEND_REMINDER,1,0.3825
pay_008638,728.87,UPI,BANK_ERROR,1,0.878,RETRY,1,0.839
pay_008638,728.87,UPI,BANK_ERROR,1,0.878,SEND_REMINDER,0,0.509
pay_005354,4581.62,UPI,BANK_ERROR,1,0.768,RETRY,1,0.784
pay_005354,4581.62,UPI,BANK_ERROR,1,0.768,SEND_REMINDER,0,0.454
pay_003392,951.22,WALLET,NETWORK_ERROR,3,0.763,RETRY,0,0.6115
pay_003392,951.22,WALLET,NETWORK_ERROR,3,0.763,SEND_REMINDER,1,0.3415
pay_000212,4484.81,CARD,NETWORK_ERROR,4,0.545,RETRY,0,0.43250000000000005
pay_000212,4484.81,CARD,NETWORK_ERROR,4,0.545,SEND_REMINDER,0,0.16250000000000003
pay_001459,5073.58,NETBANKING,FRAUD_SUSPECTED,3,0.564,RETRY,0,0.01
pay_001459,5073.58,NETBANKING,FRAUD_SUSPECTED,3,0.564,SEND_REMINDER,0,0.01
pay_004779,752.79,NETBANKING,NETWORK_ERROR,4,0.833,RETRY,1,0.5765
pay_004779,752.79,NETBANKING,NETWORK_ERROR,4,0.833,SEND_REMINDER,1,0.30649999999999994
pay_005290,3745.59,UPI,CARD_EXPIRED,2,0.93,RETRY,1,0.24500000000000005
pay_005290,3745.59,UPI,CARD_EXPIRED,2,0.93,SEND_REMINDER,0,0.7649999999999999
pay_003980,780.77,WALLET,CARD_EXPIRED,4,0.475,RETRY,0,0.01
pay_003980,780.77,WALLET,CARD_EXPIRED,4,0.475,SEND_REMINDER,1,0.3974999999999999
pay_009119,1691.65,UPI,BANK_ERROR,1,0.602,RETRY,1,0.7010000000000001
pay_009119,1691.65,UPI,BANK_ERROR,1,0.602,SEND_REMINDER,0,0.371
pay_008739,5898.76,CARD,INSUFFICIENT_FUNDS,4,0.964,RETRY,0,0.27199999999999996
pay_008739,5898.76,CARD,INSUFFICIENT_FUNDS,4,0.964,SEND_REMINDER,0,0.5720000000000001
pay_003956,1108.64,WALLET,CARD_EXPIRED,3,0.534,RETRY,1,0.01
pay_003956,1108.64,WALLET,CARD_EXPIRED,3,0.534,SEND_REMINDER,1,0.497
pay_002652,6096.24,UPI,INSUFFICIENT_FUNDS,1,0.538,RETRY,0,0.269
pay_002652,6096.24,UPI,INSUFFICIENT_FUNDS,1,0.538,SEND_REMINDER,1,0.5690000000000001
pay_006389,3547.55,NETBANKING,TIMEOUT,2,0.698,RETRY,1,0.609
pay_006389,3547.55,NETBANKING,TIMEOUT,2,0.698,SEND_REMINDER,0,0.379
pay_002604,698.03,NETBANKING,INSUFFICIENT_FUNDS,2,0.555,RETRY,0,0.20750000000000002
pay_002604,698.03,NETBANKING,INSUFFICIENT_FUNDS,2,0.555,SEND_REMINDER,1,0.5075000000000001
pay_005055,683.16,UPI,INSUFFICIENT_FUNDS,2,0.561,RETRY,0,0.21050000000000002
pay_005055,683.16,UPI,INSUFFICIENT_FUNDS,2,0.561,SEND_REMINDER,0,0.5105
pay_008178,6140.52,NETBANKING,USER_CANCELLED,3,0.826,RETRY,1,0.473
pay_008178,6140.52,NETBANKING,USER_CANCELLED,3,0.826,SEND_REMINDER,1,0.6029999999999999
pay_005059,1618.4,UPI,FRAUD_SUSPECTED,1,0.909,RETRY,0,0.11450000000000003
pay_005059,1618.4,UPI,FRAUD_SUSPECTED,1,0.909,SEND_REMINDER,0,0.11450000000000003
pay_004530,1163.53,UPI,USER_CANCELLED,2,0.816,RETRY,1,0.538
pay_004530,1163.53,UPI,USER_CANCELLED,2,0.816,SEND_REMINDER,0,0.6679999999999999
pay_007061,6178.61,WALLET,USER_CANCELLED,2,0.621,RETRY,0,0.44050000000000006
pay_007061,6178.61,WALLET,USER_CANCELLED,2,0.621,SEND_REMINDER,0,0.5705
pay_002752,6364.02,CARD,USER_CANCELLED,4,0.739,RETRY,1,0.3595000000000001
pay_002752,6364.02,CARD,USER_CANCELLED,4,0.739,SEND_REMINDER,1,0.4895
pay_001224,2517.54,UPI,LIMIT_EXCEEDED,4,0.78,RETRY,0,0.13
pay_001224,2517.54,UPI,LIMIT_EXCEEDED,4,0.78,SEND_REMINDER,1,0.43
pay_000228,763.42,NETBANKING,NETWORK_ERROR,3,0.483,RETRY,0,0.4714999999999999
pay_000228,763.42,NETBANKING,NETWORK_ERROR,3,0.483,SEND_REMINDER,0,0.2015
pay_009636,586.77,WALLET,NETWORK_ERROR,4,0.76,RETRY,1,0.54
pay_009636,586.77,WALLET,NETWORK_ERROR,4,0.76,SEND_REMINDER,1,0.27
pay_003833,4141.74,CARD,TIMEOUT,4,0.871,RETRY,1,0.5554999999999999
pay_003833,4141.74,CARD,TIMEOUT,4,0.871,SEND_REMINDER,1,0.32550000000000007
pay_004899,3092.48,NETBANKING,BANK_ERROR,4,0.683,RETRY,1,0.5315000000000001
pay_004899,3092.48,NETBANKING,BANK_ERROR,4,0.683,SEND_REMINDER,0,0.2015
pay_003379,2710.19,CARD,FRAUD_SUSPECTED,3,0.935,RETRY,0,0.01
pay_003379,2710.19,CARD,FRAUD_SUSPECTED,3,0.935,SEND_REMINDER,0,0.01
pay_002001,1053.48,CARD,NETWORK_ERROR,1,0.782,RETRY,1,0.761
pay_002001,1053.48,CARD,NETWORK_ERROR,1,0.782,SEND_REMINDER,1,0.49100000000000005
pay_006099,2178.59,NETBANKING,USER_CANCELLED,2,0.867,RETRY,1,0.5635000000000001
pay_006099,2178.59,NETBANKING,USER_CANCELLED,2,0.867,SEND_REMINDER,1,0.6935
pay_005288,5381.39,UPI,INSUFFICIENT_FUNDS,3,0.656,RETRY,0,0.188
pay_005288,5381.39,UPI,INSUFFICIENT_FUNDS,3,0.656,SEND_REMINDER,1,0.4880000000000001
pay_002718,3670.87,NETBANKING,USER_CANCELLED,4,0.753,RETRY,0,0.3665
pay_002718,3670.87,NETBANKING,USER_CANCELLED,4,0.753,SEND_REMINDER,1,0.4964999999999999
pay_008605,2953.1,UPI,CARD_EXPIRED,3,0.852,RETRY,0,0.136
